title,journal,year,volume,issue,theory,quant,hypo_testing,hypo_explicit,table,hypo,var,coef,se,t-value,z-value,OR,95% CI (lb),95% CI (ub),99.9% CI (lb),99.9% CI (ub),test,test_type,should_be_test_type,note
CRIME DIVERSITY,crim,2016,54,4,0,1,0,,,,,,,,,,,,,,negative binomial model fit,,,
"AGE, GENDER, AND THE CRIME OF CRIMES: TOWARD A LIFE-COURSE THEORY OF GENOCIDE PARTICIPATION ",crim,2016,54,4,0,1,0,1,,,,,,,,,,,,,descriptive statistics,,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,1,Targets ,1.605,,6.47,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,1,Targets Squared,-0.48,,-4.73,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,1,Offenders,0.184,,1.99,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,1,Targets x Offenders,-0.303,,-2.75,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,1,Targets Squared x Offenders,0.112,,3.17,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,0,Population,0.205,,5.31,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,0,Population Squared,-0.008,,-2.8,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,0,Concentrated Disadvantage,0.067,,1.34,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,0,Residential Stability,-0.239,,-4.71,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,0,Percent Black,0.063,,2.04,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,0,Percent Latino,0.009,,2.22,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,0,Percent Asian,0.006,,1.45,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,2,0,Racial/Ethnic Heterogeneity ,-1.077,,-2.75,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,0.333,,0.92,,,,,,,negative binomial regression (two-tailed),2,,"I think numbers in () are t-values, not SE"
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.32,,3.03,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.662,,4.23,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.009,,1.65,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,0.818,,1.67,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.138,,1.95,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,0.8,,1.99,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.677,,2.42,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.895,,1.66,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,0.811,,1.14,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,0.716,,0.69,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.031,,1.26,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,-1.435,,-1.44,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.367,,2.29,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,0.426,,0.68,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,0.802,,1.39,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,-0.009,,-0.02,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,0.842,,2.17,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.437,,3.15,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.795,,4.11,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,0.588,,1.68,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.078,,2.47,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.17,,3.18,,,,,,,negative binomial regression (two-tailed),2,,
