title,journal,year,volume,issue,theory,quant,hypo_testing,hypo_explicit,table,hypo,var,coef,se,t-value,z-value,OR,95% CI (lb),95% CI (ub),99.9% CI (lb),99.9% CI (ub),test,test_type,should_be_test_type,note
Exploring the Effect of Exposure to Short-Term Solitary Confinement Among Violent Prison Inmates ,jqc,2016,32,1,0,1,1,1,3,1,unmatched,-0.048,0.016,-2.95,,,,,,,t-test,2,,balancing statistics omitted
Exploring the Effect of Exposure to Short-Term Solitary Confinement Among Violent Prison Inmates ,jqc,2016,32,1,0,1,1,1,3,1,matched,-0.012,0.021,0.59,,,,,,,t-test,2,,
Exploring the Effect of Exposure to Short-Term Solitary Confinement Among Violent Prison Inmates ,jqc,2016,32,1,0,1,1,1,3,1,unmatched,30.228,14.887,2.03,,,,,,,t-test,2,,
Exploring the Effect of Exposure to Short-Term Solitary Confinement Among Violent Prison Inmates ,jqc,2016,32,1,0,1,1,1,3,1,matched,2.176,19.077,0.11,,,,,,,t-test,2,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,1,Change in recent foreign-born index    ,-133.26,74.89,,,,,,,,FE,0,1,effect direction is opposite of hypotheses
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in city/town population,-0.006,0.002,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in pct male aged 15_29,30.84,29.9,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in adult-child ratio,315.71,112.27,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in disadvantage index,163.55,33.98,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in residential stability,-24.81,65.71,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in pct managerial/professional work,2.19,13.79,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0, Change in pct seasonal work,-26.26,64.39,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,1,New destination places,-189.48,103.86,,,,,,,,FE,0,1,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,1,Change in recent foreign-born index    ,-51.28,30.54,,,,,,,,FE,0,1,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in city/town population,-0.003,0.001,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in pct male aged 15_29,7.66,12.2,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in adult-child ratio,19.08,46.02,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in disadvantage index,62.91,13.86,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in residential stability,-43.75,26.8,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0,Change in pct managerial/professional work,3.04,5.63,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,0, Change in pct seasonal work,0.88,26.26,,,,,,,,FE,0,,
"Immigration and Crime in the New Destinations, 2000_2007: A Test of the Disorganizing Effect of Migration ",jqc,2016,32,1,0,1,1,1,3,1,New destination places,38.74,42.36,,,,,,,,FE,0,1,
